Paper,Paper title,DOI / paper link,Arm ID,LNP name,Chemical formulation (total),LNP molar ratio,Ionizable lipid,Helper lipid,Cholesterol,PEG lipid,Others,Target / recipient organ,Intended target cell,Observed transfected cell,Legacy cell label,Species,Biological model,Payload,Encoded product,Molecular target,Dose,Route,Timepoint,Assay,Outcomes,General use,Nearest neighbor,COMET,COMET blockers,Missing fields,Automatic-resolution issues
GP-005,GP-005,https://doi.org/10.1002/advs.202409729,16,LNP5,SM-102-DSPC-cholesterol-DMG-PEG2000,50:10:38.5:1.5,SM-102,DSPC,cholesterol,DMG-PEG2000,NA,NA,HeLa cell; human primary macrophage,HeLa cell; human primary macrophage,other,Homo sapiens,NA,unmodified EGFP mRNA,EGFP,NA,1 micrograms per mL,in vitro incubation,24 hours,flow cytometry,"EGFP expression in HeLa cells: significant EGFP protein translation · qualitative_only
EGFP expression in human primary macrophages: low EGFP protein translation · qualitative_only",Ready,Ready,Not ready,"biological_model, coherent_outcome, manually_verified, normalization_basis, outcome_unit",None,None
GP-005,GP-005,https://doi.org/10.1002/advs.202409729,17,LNP6,MC3-DSPC-cholesterol-DMG-PEG2000,50:10:38.5:1.5,MC3,DSPC,cholesterol,DMG-PEG2000,NA,NA,HeLa cell; human primary macrophage,HeLa cell; human primary macrophage,other,Homo sapiens,NA,m1Ψ-modified EGFP mRNA,EGFP,NA,1 micrograms per mL,in vitro incubation,24 hours,flow cytometry,"EGFP expression in HeLa cells: significant EGFP protein translation · qualitative_only
EGFP expression in human primary macrophages: low EGFP protein translation · qualitative_only",Ready,Ready,Not ready,"biological_model, coherent_outcome, manually_verified, normalization_basis, outcome_unit",None,None
GP-005,GP-005,https://doi.org/10.1002/advs.202409729,18,LNP7,SM-102-DSPC-cholesterol-DMG-PEG2000,50:10:38.5:1.5,SM-102,DSPC,cholesterol,DMG-PEG2000,NA,NA,HeLa cell; human primary macrophage,HeLa cell; human primary macrophage,other,Homo sapiens,NA,m1Ψ-modified EGFP mRNA,EGFP,NA,1 micrograms per mL,in vitro incubation,24 hours,flow cytometry,"EGFP expression in HeLa cells: significant EGFP protein translation · qualitative_only
EGFP expression in human primary macrophages: low EGFP protein translation · qualitative_only",Ready,Ready,Not ready,"biological_model, coherent_outcome, manually_verified, normalization_basis, outcome_unit",None,None
GP-006,GP-006,https://doi.org/10.1016/j.omtn.2024.102383,19,MC3 LNP,MC3-DOPE-cholesterol-DMG-PEG2K,50:10:39:1,D-Lin-MC3-DMA,"1,2-dioleoyl-sn-glycero-3-phosphoethanolamine",cholesterol,DMG-PEG2000,NA,liver,liver sinusoidal endothelial cell (LSEC),lsec,lsec,Mus musculus,NSG hemophilia A mouse model,CRISPR-associated protein 9 mRNA; NSGHAsgRNA,Cas9,NA,4 mg_per_kg,intravenous,26 week,deep_sequencing_and_aPTT,"Reported outcome: 3.3 % · reported
Reported outcome: 52.7 % · reported
Reported outcome: 16.5 % · reported
Reported outcome: 60.54 % · reported
indels at five top-predicted potential off-target sites: no detected indels at five top-predicted potential off-target sites · qualitative_only
total_deletion_frequency_in_LSECs: 16.5 percent · isolated_LSEC_genomic_DNA · reported
total_insertion_frequency_in_LSECs: 1.01 percent · isolated_LSEC_genomic_DNA · reported
FVIII_activity: 3.3 percent_normal_activity · plasma_FVIII_activity · reported",Ready,Ready,Ready,None,None,None
GP-006,GP-006,https://doi.org/10.1016/j.omtn.2024.102383,20,MC3 LNP,MC3-DOPE-cholesterol-DMG-PEG2K,50:10:39:1,D-Lin-MC3-DMA,"1,2-dioleoyl-sn-glycero-3-phosphoethanolamine",cholesterol,DMG-PEG2000,NA,liver,NA,lsec,lsec,Mus musculus,NA,GFP mRNA,GFP,NA,1.2 mg_per_kg,intravenous,6 hour,GFP_LYVE1_immunostaining,"GFP_expression_in_LYVE1_positive_LSECs: GFP signal colocalized with the LSEC marker LYVE-1. · LYVE1_positive_liver_cells · qualitative_only
hepatocyte_to_LSEC_luciferase_expression_ratio: 17 fold · luciferase_activity_normalized_to_total_protein · reported",Ready,Ready,Ready,None,None,None
GP-007,GP-007,https://doi.org/10.7150/ijbs.126332,21,LNPs-siMicu1,cholesterol-DSPE-PEG-FITC-labeled hyaluronic acid,NA,NA,NA,cholesterol,DSPE-PEG,FITC-hyaluronic acid,liver,NA,lsec,lsec,Mus musculus,NA,MICU1-targeting siRNA,NA,MICU1,5 uL_per_g_formulation_volume,intravenous_tail_vein,2 hour_before_HIRI,TEM_FITC_FSA_biochemistry_histology,"primary biodistribution target organ: predominant liver biodistribution · qualitative_only
Reported outcome: improved with siMicu1-LNPs and more strongly with siMicu1-LNPs plus acteoside · qualitative_only
Reported outcome: improved with siMicu1-LNPs and more strongly with siMicu1-LNPs plus acteoside · qualitative_only
Reported outcome: significantly restored in siMicu1-LNP and siMicu1-LNP-plus-acteoside groups · qualitative_only
particle diameter: 80.03 ± 1.19 nm · qualitative_only
zeta potential: 10.12 mV · qualitative_only
encapsulation efficiency: 71.97 % · reported
LSEC_ultrastructure_and_function: Reduced mitochondrial damage, calcium accumulation, and LSEC defenestration. · HIRI_plus_blank_LNP_control · qualitative_only",Not ready,Not ready,Not ready,"coherent_outcome, lnp_molar_ratio",lnp_molar_ratio,None
GP-008,GP-008,https://doi.org/10.1073/pnas.2534673123,22,αCD163/LNP-FAPCAR,ionizable lipid-DSPC-cholesterol-PEG-lipid,45:30:23.5:1.5,heptadecan-9-yl 8-((2-hydroxyethyl)(8-(nonyloxy)-8-oxooctyl)amino)octanoate,DSPC,cholesterol,PEG-lipid,DSPE-PEG-maleimide; anti-CD163 antibody; antibody:LNP 1:20,NA,NA,hsc,hsc,NA,NA,mRNA encoding an FAP-targeted chimeric antigen receptor,FAP-targeted chimeric antigen receptor,NA,NA,NA,NA,NA,mean particle diameter: 110.3 ± 6.8 nm · qualitative_only,Not ready,Not ready,Not ready,"assay, biological_model, coherent_outcome, delivery_destination, dose, dose_unit, in_vitro_in_vivo, manually_verified, normalization_basis, outcome_unit, route, species, timepoint","delivery_destination, dose, route, species, timepoint",None
GP-008,GP-008,https://doi.org/10.1073/pnas.2534673123,25,αCD163/LNP-FAPCAR,ionizable lipid-DSPC-cholesterol-PEG-lipid,45:30:23.5:1.5,heptadecan-9-yl 8-((2-hydroxyethyl)(8-(nonyloxy)-8-oxooctyl)amino)octanoate,DSPC,cholesterol,PEG-lipid,DSPE-PEG-maleimide; anti-CD163 antibody; antibody:LNP 1:20,NA,bone-marrow-derived macrophage (BMDM),bone-marrow-derived macrophage (BMDM),hsc,Mus musculus,NA,FAPCAR mRNA,FAPCAR,NA,NA,cell_incubation,48 hour,flow_cytometry_phagocytosis_cytotoxicity,"FAPCAR_or_GFP_positive_BMDMs: 80 percent_greater_than · BMDMs_exposed_to_alpha_CD163_LNP · reported
expression_after_unmodified_LNP: 20 percent_less_than · BMDMs_exposed_to_unmodified_LNP · reported",Not ready,Not ready,Not ready,"dose, dose_unit",dose,None
GP-008,GP-008,https://doi.org/10.1073/pnas.2534673123,26,αCD163/LNP-FAPCAR,ionizable lipid-DSPC-cholesterol-PEG-lipid,45:30:23.5:1.5,heptadecan-9-yl 8-((2-hydroxyethyl)(8-(nonyloxy)-8-oxooctyl)amino)octanoate,DSPC,cholesterol,PEG-lipid,DSPE-PEG-maleimide; anti-CD163 antibody; antibody:LNP 1:20,liver,CD163+ macrophage,FAPCAR+ hepatic macrophage,hsc,Mus musculus,NA,FAPCAR mRNA,FAPCAR,NA,0.4 mg_mRNA_per_kg,intravenous_tail_vein,14 day,histology_immunofluorescence_single_cell_RNAseq,"activated_HSC_elimination: FAPCAR macrophages recognized, phagocytosed, and eliminated activated HSC models. · FAP_positive_activated_HSCs · qualitative_only
reporter_recipient_cell: Reporter and FAPCAR expression localized to macrophages rather than Desmin-positive HSCs. · liver_cell_marker_colocalization · qualitative_only",Ready,Ready,Not ready,"coherent_outcome, outcome_unit",None,None
GP-008,GP-008,https://doi.org/10.1073/pnas.2534673123,23,αCD163/LNP-Luc,ionizable lipid-DSPC-cholesterol-PEG-lipid,45:30:23.5:1.5,heptadecan-9-yl 8-((2-hydroxyethyl)(8-(nonyloxy)-8-oxooctyl)amino)octanoate,DSPC,cholesterol,PEG-lipid,DSPE-PEG-maleimide; anti-CD163 antibody; antibody:LNP 1:20,liver,CD163+ macrophage,hepatic macrophage,not_reported,mouse,CCl4-induced liver fibrosis,Photinus pyralis luciferase mRNA,Photinus pyralis luciferase,NA,0.4 mg mRNA/kg body weight,intravenous tail-vein injection,8 hours; signal attenuation after 24 hours,in vivo bioluminescence imaging and ex vivo organ imaging,luciferase fluorescence kinetics: Peak fluorescence intensity at 8 h post-injection; signal attenuation was evident after 24 h. · qualitative_only,Ready,Ready,Not ready,"coherent_outcome, manually_verified, normalization_basis, outcome_unit",None,None
GP-008,GP-008,https://doi.org/10.1073/pnas.2534673123,24,αCD163/LNP-ZsGreen,ionizable lipid-DSPC-cholesterol-PEG-lipid,45:30:23.5:1.5,heptadecan-9-yl 8-((2-hydroxyethyl)(8-(nonyloxy)-8-oxooctyl)amino)octanoate,DSPC,cholesterol,PEG-lipid,DSPE-PEG-maleimide; anti-CD163 antibody; antibody:LNP 1:20,liver,CD163+ macrophage,hepatic macrophage,not_reported,mouse,CCl4-induced liver fibrosis,ZsGreen mRNA,ZsGreen,NA,0.4 mg mRNA/kg body weight,intravenous tail-vein injection,14 days,ZsGreen fluorescence imaging and flow cytometry,duration of hepatic ZsGreen fluorescence: hepatic fluorescence sustained through day 14 · qualitative_only,Ready,Ready,Not ready,"coherent_outcome, manually_verified, normalization_basis, outcome_unit",None,None
NP-001,Encapsulation of Dexamethasone into mRNA-Lipid Nanoparticles Is a Promising Approach for the Development of Liver-Targeted Anti-Inflammatory Therapies,https://doi.org/10.3390/ijms252011254,27,LNP(DSPC)/DX25,ALC-0315-DSPC-cholesterol-ALC-0159,NA,ALC-0315,DSPC,cholesterol,ALC-0159,DX,NA,NA,HepG2 human hepatocellular carcinoma cells,other,human,NA,EGFP-encoding mRNA,EGFP,NA,500 ng total mRNA per well,NA,24 h,NA,EGFP-positive transfection: 95 % cells positive for transfection · reported,Not ready,Not ready,Not ready,"assay, coherent_outcome, delivery_destination, lnp_molar_ratio, manually_verified, normalization_basis, route","delivery_destination, lnp_molar_ratio, route",None
NP-002,Cell Subtypes Within the Liver Microenvironment Differentially Interact with Lipid Nanoparticles,https://doi.org/10.1007/s12195-019-00573-4,28,MC3 LNP,MC3-DSPC-cholesterol-C14 PEG 2000,50:10:38.5:1.5,MC3,DSPC,cholesterol,C14 PEG 2000,NA,liver,NA,hepatocytes; liver endothelial cells (CD31+ CD45− CD68−),other,mouse,NA,QUANT DNA,NA,NA,0.3 mg/kg QUANT DNA,intravenous via lateral tail vein,6 hours,FACS,"QUANT DNA biodistribution to hepatocytes: The LNPs distributed nucleic acids to Kupffer cells and liver endothelial cells as efficiently as to hepatocytes. · qualitative_only
DNA measured per endothelial cell: Less DNA was measured per endothelial cell than in the other cell types; the differences were not statistically significant. · qualitative_only",Ready,Ready,Not ready,"coherent_outcome, manually_verified, normalization_basis, outcome_unit, payload_encoded_product_or_molecular_target",None,None
NP-002,Cell Subtypes Within the Liver Microenvironment Differentially Interact with Lipid Nanoparticles,https://doi.org/10.1007/s12195-019-00573-4,30,MC3 LNP,MC3-DSPC-cholesterol-C14 PEG 2000,50:10:38.5:1.5,MC3,DSPC,cholesterol,C14 PEG 2000,NA,liver,NA,hepatocytes; Kupffer cells; endothelial cells,other,mouse,Ai14 reporter mice,Cre mRNA,Cre protein,NA,1 mg/kg Cre mRNA,intravenous via lateral tail vein,3 days,flow cytometry,"percentage of hepatocytes that were tdTomato-positive: Functional delivery to endothelial cells was higher than to hepatocytes for mice treated with MC3, although not significantly. · qualitative_only
Functional Cre-mRNA delivery in Kupffer cells, measured as percentage tdTomato-positive cells: Functional delivery to endothelial cells was higher than to Kupffer cells for MC3-treated mice; the difference was not significant. · qualitative_only
Percentage of endothelial cells that were tdTomato-positive: Functional delivery to endothelial cells was higher than to Kupffer cells or hepatocytes, but not significantly. · qualitative_only",Ready,Ready,Not ready,"coherent_outcome, manually_verified, normalization_basis, outcome_unit",None,None
NP-002,Cell Subtypes Within the Liver Microenvironment Differentially Interact with Lipid Nanoparticles,https://doi.org/10.1007/s12195-019-00573-4,32,MC3 LNP,MC3-DSPC-cholesterol-C14 PEG 2000,50:10:38.5:1.5,MC3,DSPC,cholesterol,C14 PEG 2000,NA,liver,NA,hepatocytes,hepatocyte,mouse,Ai14 reporter mice,Cre mRNA,Cre protein,NA,0.3 mg/kg Cre mRNA,intravenous via lateral tail vein,3 days,flow cytometry,"percentage of hepatocytes that were tdTomato-positive: At 0.3 mg/kg Cre mRNA, liver endothelial and Kupffer cells had a statistically significantly higher percentage of tdTomato-positive cells than hepatocytes. · qualitative_only",Ready,Ready,Not ready,"coherent_outcome, manually_verified, normalization_basis, outcome_unit",None,None
NP-002,Cell Subtypes Within the Liver Microenvironment Differentially Interact with Lipid Nanoparticles,https://doi.org/10.1007/s12195-019-00573-4,29,cKK-E12 LNP,cKK-E12-DSPC-cholesterol-C14 PEG 2000,50:10:38.5:1.5,cKK-E12,DSPC,cholesterol,C14 PEG 2000,NA,liver,NA,hepatocytes; Kupffer cells (CD31− CD45+ CD68+); liver endothelial cells (CD31+ CD45− CD68−),other,mouse,NA,QUANT DNA,NA,NA,0.3 mg/kg QUANT DNA,intravenous via lateral tail vein,6 hours,FACS,"QUANT DNA biodistribution to hepatocytes: The LNPs distributed nucleic acids to Kupffer cells and liver endothelial cells as efficiently as to hepatocytes. · qualitative_only
QUANT DNA accumulation in Kupffer cells: For cKK-E12, DNA accumulated in all three assayed liver cell types; DNA taken up per endothelial cell was less than in Kupffer cells. · qualitative_only
DNA accumulation per endothelial cell: cKK-E12 facilitated DNA accumulation in endothelial cells, but the amount taken up per endothelial cell was less than in Kupffer cells. · qualitative_only",Ready,Ready,Not ready,"coherent_outcome, manually_verified, normalization_basis, outcome_unit, payload_encoded_product_or_molecular_target",None,None
NP-002,Cell Subtypes Within the Liver Microenvironment Differentially Interact with Lipid Nanoparticles,https://doi.org/10.1007/s12195-019-00573-4,31,cKK-E12 LNP,cKK-E12-DSPC-cholesterol-C14 PEG 2000,50:10:38.5:1.5,cKK-E12,DSPC,cholesterol,C14 PEG 2000,NA,liver,NA,hepatocytes; Kupffer cells; endothelial cells,other,mouse,Ai14 reporter mice,Cre mRNA,Cre protein,NA,1 mg/kg Cre mRNA,intravenous via lateral tail vein,3 days,flow cytometry,"percentage of hepatocytes that were tdTomato-positive: Functional delivery to endothelial cells was higher than to hepatocytes for mice treated with cKK-E12, although not significantly. · qualitative_only
Functional Cre-mRNA delivery in Kupffer cells, measured as percentage tdTomato-positive cells: Functional delivery to endothelial cells was higher than to Kupffer cells for cKK-E12-treated mice; the difference was not significant. · qualitative_only
Percentage of endothelial cells that were tdTomato-positive: Functional delivery to endothelial cells was higher than to Kupffer cells or hepatocytes, but not significantly. · qualitative_only",Ready,Ready,Not ready,"coherent_outcome, manually_verified, normalization_basis, outcome_unit",None,None
NP-002,Cell Subtypes Within the Liver Microenvironment Differentially Interact with Lipid Nanoparticles,https://doi.org/10.1007/s12195-019-00573-4,33,cKK-E12 LNP,cKK-E12-DSPC-cholesterol-C14 PEG 2000,50:10:38.5:1.5,cKK-E12,DSPC,cholesterol,C14 PEG 2000,NA,liver,NA,hepatocytes,hepatocyte,mouse,Ai14 reporter mice,Cre mRNA,Cre protein,NA,0.3 mg/kg Cre mRNA,intravenous via lateral tail vein,3 days,flow cytometry,"percentage of hepatocytes that were tdTomato-positive: At 0.3 mg/kg Cre mRNA, liver endothelial and Kupffer cells had a statistically significantly higher percentage of tdTomato-positive cells than hepatocytes. · qualitative_only",Ready,Ready,Not ready,"coherent_outcome, manually_verified, normalization_basis, outcome_unit",None,None
