entity_id,entity_type,experiment_scope,reported_name,normalized_name,normalization_status,evidence_quote,source_section,source_file,page_or_xml_id,human_decision,human_reason
ENT-S01,species,GP-007-E04,mice,Mus musculus,synonym,mice were randomly assigned to four groups,2. Materials and Methods > 2.4 Animal studies,data/raw/fulltext/gold_v1/xml/candidate_00167_PMC13137855.xml,,,
ENT-MODEL01,biological_model,GP-007-E01,HIRI mice,mouse model of hepatic ischemia-reperfusion injury,synonym,in vivo in HIRI mice,Abstract,data/raw/fulltext/gold_v1/xml/candidate_00167_PMC13137855.xml,,,
ENT-MODEL02,biological_model,GP-007-E02,hypoxia-reoxygenation or lactate-stimulated LSECs,hypoxia-reoxygenation- or lactate-stimulated liver sinusoidal endothelial cells,synonym,in vitro in hypoxia-reoxygenation or lactate-stimulated LSECs,Abstract,data/raw/fulltext/gold_v1/xml/candidate_00167_PMC13137855.xml,,,
ENT-I01,intervention,"GP-007-E01, GP-007-E02",ACT,acteoside,synonym,acteoside (ACT),Abstract,data/raw/fulltext/gold_v1/xml/candidate_00167_PMC13137855.xml,,,
ENT-I02,intervention,GP-007-E03,LSECs-specific Micu1 overexpression driven by a Stab2 promoter AAV,LSEC-specific MICU1 overexpression by Stab2-promoter AAV,synonym,LSECs-specific Micu1 overexpression driven by a Stab2 promoter AAV,4. Discussion,data/raw/fulltext/gold_v1/xml/candidate_00167_PMC13137855.xml,,,
ENT-I03,intervention,GP-007-E04,LNPs-siMicu1,siMicu1-loaded lipid nanoparticles,synonym,an intravenous injection of LNPs-siMicu1 (5 μl/g),2. Materials and Methods > 2.4 Animal studies,data/raw/fulltext/gold_v1/xml/candidate_00167_PMC13137855.xml,,,
ENT-I03,intervention,GP-007-E04,LNPs-siMicu1,siMicu1-loaded lipid nanoparticles,synonym,siMicu1-LNPs,3. Results > 3.7 The anti-HIRI properties of acteoside can be partially improved with the specific inhibition of Micu1 in livers,data/raw/fulltext/gold_v1/xml/candidate_00167_PMC13137855.xml,,,
ENT-I04,intervention,GP-007-E04,LNPs-siMicu1 + ACT,siMicu1-loaded lipid nanoparticles plus acteoside,synonym,HIRI + LNPs-siMicu1 + ACT (50 mg/kg) group,2. Materials and Methods > 2.4 Animal studies,data/raw/fulltext/gold_v1/xml/candidate_00167_PMC13137855.xml,,,
ENT-I07,intervention,GP-007-E04,blank-LNPs,blank lipid nanoparticles,synonym,blank-LNPs,3. Results > 3.7 The anti-HIRI properties of acteoside can be partially improved with the specific inhibition of Micu1 in livers,data/raw/fulltext/gold_v1/xml/candidate_00167_PMC13137855.xml,,,
ENT-R01,route,GP-007-E04,intravenous injection,intravenous administration,synonym,an intravenous injection of LNPs-siMicu1,2. Materials and Methods > 2.4 Animal studies,data/raw/fulltext/gold_v1/xml/candidate_00167_PMC13137855.xml,,,
ENT-DOS01,dose,GP-007-E04,5 μl/g,5 µL/g,exact,LNPs-siMicu1 (5 μl/g),2. Materials and Methods > 2.4 Animal studies,data/raw/fulltext/gold_v1/xml/candidate_00167_PMC13137855.xml,,,
ENT-DOS02,dose,unlinked/pending,50 mg/kg,50 mg/kg,exact,ACT (50 mg/kg),2. Materials and Methods > 2.4 Animal studies,data/raw/fulltext/gold_v1/xml/candidate_00167_PMC13137855.xml,,,
ENT-DOS03,dose,SHARED,0.1 mol%,0.1 mol%,exact,0.1 mol% FITC-labeled HA derivatives,2. Materials and Methods > 2.1 Preparation and characterization of lipid nanoparticles (LNPs)-siMicu1,data/raw/fulltext/gold_v1/xml/candidate_00167_PMC13137855.xml,,,
ENT-TM01,timepoint,GP-007-E04,2 h prior to surgery,2 hours before surgery,synonym,2 h prior to surgery,2. Materials and Methods > 2.4 Animal studies,data/raw/fulltext/gold_v1/xml/candidate_00167_PMC13137855.xml,,,
ENT-TM02,timepoint,unlinked/pending,6 h post-injection,6 hours after injection,synonym,at 6 h post-injection,3. Results > 3.7 The anti-HIRI properties of acteoside can be partially improved with the specific inhibition of Micu1 in livers,data/raw/fulltext/gold_v1/xml/candidate_00167_PMC13137855.xml,,,
ENT-A01,assay,GP-007-E04,in vivo fluorescence imaging analysis,in vivo fluorescence imaging,synonym,we performed in vivo fluorescence imaging analysis using FITC-labeled siMicu1-LNPs,3. Results > 3.7 The anti-HIRI properties of acteoside can be partially improved with the specific inhibition of Micu1 in livers,data/raw/fulltext/gold_v1/xml/candidate_00167_PMC13137855.xml,,,
ENT-A02,assay,SHARED,DLS and Zeta-potential analysis,dynamic light scattering and zeta-potential analysis,synonym,Dynamic light scattering (DLS) and Zeta-potential analysis,3. Results > 3.7 The anti-HIRI properties of acteoside can be partially improved with the specific inhibition of Micu1 in livers,data/raw/fulltext/gold_v1/xml/candidate_00167_PMC13137855.xml,,,
ENT-A03,assay,SHARED,UPLC,ultra-performance liquid chromatography,synonym,The encapsulation efficiency (EE%) determined by UPLC,3. Results > 3.7 The anti-HIRI properties of acteoside can be partially improved with the specific inhibition of Micu1 in livers,data/raw/fulltext/gold_v1/xml/candidate_00167_PMC13137855.xml,,,
ENT-A04,assay,unlinked/pending,TEM,transmission electron microscopy,synonym,TEM revealed the presence of irregular spherical nanoparticles,3. Results > 3.7 The anti-HIRI properties of acteoside can be partially improved with the specific inhibition of Micu1 in livers,data/raw/fulltext/gold_v1/xml/candidate_00167_PMC13137855.xml,,,
ENT-E01,endpoint,SHARED,particle size,particle diameter,synonym,the particle size of siMicu1-LNPs,3. Results > 3.7 The anti-HIRI properties of acteoside can be partially improved with the specific inhibition of Micu1 in livers,data/raw/fulltext/gold_v1/xml/candidate_00167_PMC13137855.xml,,,
ENT-O01,outcome_value,SHARED,80.03 ± 1.19 nm,80.03 ± 1.19 nm,exact,80.03 ± 1.19 nm,3. Results > 3.7 The anti-HIRI properties of acteoside can be partially improved with the specific inhibition of Micu1 in livers,data/raw/fulltext/gold_v1/xml/candidate_00167_PMC13137855.xml,,,
ENT-E02,endpoint,SHARED,surface potential,zeta potential,synonym,the surface potential,3. Results > 3.7 The anti-HIRI properties of acteoside can be partially improved with the specific inhibition of Micu1 in livers,data/raw/fulltext/gold_v1/xml/candidate_00167_PMC13137855.xml,,,
ENT-O02,outcome_value,SHARED,10.12 mV,10.12 mV,exact,the surface potential was 10.12 mV,3. Results > 3.7 The anti-HIRI properties of acteoside can be partially improved with the specific inhibition of Micu1 in livers,data/raw/fulltext/gold_v1/xml/candidate_00167_PMC13137855.xml,,,
ENT-E03,endpoint,SHARED,encapsulation efficiency (EE%),encapsulation efficiency,synonym,The encapsulation efficiency (EE%),3. Results > 3.7 The anti-HIRI properties of acteoside can be partially improved with the specific inhibition of Micu1 in livers,data/raw/fulltext/gold_v1/xml/candidate_00167_PMC13137855.xml,,,
ENT-O03,outcome_value,SHARED,71.97%,71.97%,exact,71.97%,3. Results > 3.7 The anti-HIRI properties of acteoside can be partially improved with the specific inhibition of Micu1 in livers,data/raw/fulltext/gold_v1/xml/candidate_00167_PMC13137855.xml,,,
ENT-E04,endpoint,GP-007-E04,primary target organ,primary biodistribution target organ,synonym,liver was the primary target organ,3. Results > 3.7 The anti-HIRI properties of acteoside can be partially improved with the specific inhibition of Micu1 in livers,data/raw/fulltext/gold_v1/xml/candidate_00167_PMC13137855.xml,,,
ENT-O04,outcome_value,GP-007-E04,liver was the primary target organ,predominant liver biodistribution,synonym,liver was the primary target organ,3. Results > 3.7 The anti-HIRI properties of acteoside can be partially improved with the specific inhibition of Micu1 in livers,data/raw/fulltext/gold_v1/xml/candidate_00167_PMC13137855.xml,,,
ENT-E05,endpoint,GP-007-E04,plasma AST and ALT,plasma aspartate aminotransferase and alanine aminotransferase levels,synonym,The increased levels of plasma AST and ALT,3. Results > 3.7 The anti-HIRI properties of acteoside can be partially improved with the specific inhibition of Micu1 in livers,data/raw/fulltext/gold_v1/xml/candidate_00167_PMC13137855.xml,,,
ENT-O05,outcome_value,GP-007-E04,largely improved with siMicu1-LNPs and more significantly with siMicu1-LNPs plus ACT,improved with siMicu1-LNPs and more strongly with siMicu1-LNPs plus acteoside,synonym,"were largely improved in the HIRI + LNPs-siMicu1 group, more significantly in the HIRI + LNPs-siMicu1 + ACT group",3. Results > 3.7 The anti-HIRI properties of acteoside can be partially improved with the specific inhibition of Micu1 in livers,data/raw/fulltext/gold_v1/xml/candidate_00167_PMC13137855.xml,,,
ENT-E06,endpoint,GP-007-E04,MDA and SOD activities,malondialdehyde and superoxide dismutase activity,synonym,elevated MDA and reduced SOD activities,3. Results > 3.7 The anti-HIRI properties of acteoside can be partially improved with the specific inhibition of Micu1 in livers,data/raw/fulltext/gold_v1/xml/candidate_00167_PMC13137855.xml,,,
ENT-O06,outcome_value,GP-007-E04,largely improved with siMicu1-LNPs and more significantly with siMicu1-LNPs plus ACT,improved with siMicu1-LNPs and more strongly with siMicu1-LNPs plus acteoside,synonym,"were largely improved in the HIRI + LNPs-siMicu1 group, more significantly in the HIRI + LNPs-siMicu1 + ACT group",3. Results > 3.7 The anti-HIRI properties of acteoside can be partially improved with the specific inhibition of Micu1 in livers,data/raw/fulltext/gold_v1/xml/candidate_00167_PMC13137855.xml,,,
ENT-E07,endpoint,GP-007-E04,fundamental structure of liver lobules,liver lobule structure,synonym,the fundamental structure of liver lobules,3. Results > 3.7 The anti-HIRI properties of acteoside can be partially improved with the specific inhibition of Micu1 in livers,data/raw/fulltext/gold_v1/xml/candidate_00167_PMC13137855.xml,,,
ENT-O07,outcome_value,GP-007-E04,significantly restored in both siMicu1-LNP treatment groups,significantly restored in siMicu1-LNP and siMicu1-LNP-plus-acteoside groups,synonym,significantly restored in HIRI + LNPs-siMicu1 and HIRI + LNPs-siMicu1 + ACT groups,3. Results > 3.7 The anti-HIRI properties of acteoside can be partially improved with the specific inhibition of Micu1 in livers,data/raw/fulltext/gold_v1/xml/candidate_00167_PMC13137855.xml,,,
ENT-E09,endpoint,GP-007-E03,hepatoprotective and sinusoid-stabilizing effects of ACT,ACT hepatoprotection and sinusoid stabilization,synonym,the hepatoprotective and sinusoid-stabilizing effects of ACT,4. Discussion,data/raw/fulltext/gold_v1/xml/candidate_00167_PMC13137855.xml,,,
ENT-O09,outcome_value,GP-007-E03,largely abolished,largely abolished,exact,largely abolished,4. Discussion,data/raw/fulltext/gold_v1/xml/candidate_00167_PMC13137855.xml,,,
