entity_id,entity_type,experiment_scope,reported_name,normalized_name,normalization_status,evidence_quote,source_section,source_file,page_or_xml_id,human_decision,human_reason
F13,lnp_formulation,E7,aCD117/tLNP-Cre,anti-CD117-targeted Cre mRNA LNP,synonym,aCD117/tLNP-Cre,Results > CD47 modification enables in vivo depletion of HSCs with HSC-targeted LNP encapsulating apoptotic mRNA by reducing off-target effects,data/raw/fulltext/gold_v1/xml/candidate_00186_PMC12265960.xml,p0055,,
F14,lnp_formulation,E7,CD47+aCD117/tLNP-Cre,CD47 peptide- and anti-CD117-targeted Cre mRNA LNP,synonym,CD47+aCD117/tLNP-Cre,Results > CD47 modification enables in vivo depletion of HSCs with HSC-targeted LNP encapsulating apoptotic mRNA by reducing off-target effects,data/raw/fulltext/gold_v1/xml/candidate_00186_PMC12265960.xml,p0055,,
F15,lnp_formulation,unlinked/pending,control scrambled peptide/LNP-mRNA,scrambled CD47-peptide-modified mRNA-loaded lipid nanoparticle,synonym,control scrambled peptide/LNP-mRNA,Results > CD47-modified LNP shows mitigated inflammatory effects and altered protein corona,data/raw/fulltext/gold_v1/xml/candidate_00186_PMC12265960.xml,p0075,,
C1,lnp_component,unlinked/pending,ionizable cationic lipid,ionizable cationic lipid,exact,ionizable cationic lipid,Materials and methods > mRNA production and formulation into LNPs,data/raw/fulltext/gold_v1/xml/candidate_00186_PMC12265960.xml,p0125,,
C2,lnp_component,unlinked/pending,phosphatidylcholine,phosphatidylcholine,exact,phosphatidylcholine,Materials and methods > mRNA production and formulation into LNPs,data/raw/fulltext/gold_v1/xml/candidate_00186_PMC12265960.xml,p0125,,
C3,lnp_component,unlinked/pending,cholesterol,cholesterol,exact,cholesterol,Materials and methods > mRNA production and formulation into LNPs,data/raw/fulltext/gold_v1/xml/candidate_00186_PMC12265960.xml,p0125,,
C4,lnp_component,unlinked/pending,PEG-lipid,PEGylated lipid,synonym,PEG-lipid,Materials and methods > mRNA production and formulation into LNPs,data/raw/fulltext/gold_v1/xml/candidate_00186_PMC12265960.xml,p0125,,
P1,payload,unlinked/pending,m1ψ-containing mRNAs,N1-methylpseudouridine-containing mRNA,synonym,m1ψ-containing mRNAs were encapsulated,Materials and methods > mRNA production and formulation into LNPs,data/raw/fulltext/gold_v1/xml/candidate_00186_PMC12265960.xml,p0125,,
P2,payload,SHARED,Luc mRNA,luciferase mRNA,synonym,aCD117/tLNP-Luc,Results > CD47 modification enables in vivo depletion of HSCs with HSC-targeted LNP encapsulating apoptotic mRNA by reducing off-target effects,data/raw/fulltext/gold_v1/xml/candidate_00186_PMC12265960.xml,p0055,,
P3,payload,"E5, SHARED",ZsGreen mRNA,ZsGreen mRNA,inferred,CD47+aCD4/tLNP-ZsGreen,Results > CD47 modification enhances the efficiency of tLNP-mRNA,data/raw/fulltext/gold_v1/xml/candidate_00186_PMC12265960.xml,p0050,,
P4,payload,SHARED,Cre mRNA,Cre recombinase mRNA,inferred,CD47+aCD117/tLNP-Cre,Results > CD47 modification enables in vivo depletion of HSCs with HSC-targeted LNP encapsulating apoptotic mRNA by reducing off-target effects,data/raw/fulltext/gold_v1/xml/candidate_00186_PMC12265960.xml,p0055,,
EP1,encoded_product,SHARED,luciferase,luciferase,exact,luciferase biodistribution,Results > CD47 modification enables in vivo depletion of HSCs with HSC-targeted LNP encapsulating apoptotic mRNA by reducing off-target effects,data/raw/fulltext/gold_v1/xml/candidate_00186_PMC12265960.xml,p0055,,
EP2,encoded_product,SHARED,ZsGreen,ZsGreen fluorescent protein,synonym,ZsGreen expression,Results > CD47 modification enhances the efficiency of tLNP-mRNA,data/raw/fulltext/gold_v1/xml/candidate_00186_PMC12265960.xml,p0050,,
EP3,encoded_product,SHARED,Cre,Cre recombinase,synonym,Cre-mediated recombination,Results > CD47 modification enables in vivo depletion of HSCs with HSC-targeted LNP encapsulating apoptotic mRNA by reducing off-target effects,data/raw/fulltext/gold_v1/xml/candidate_00186_PMC12265960.xml,p0055,,
L1,targeting_ligand,unlinked/pending,CD47 peptide,CD47-derived peptide,synonym,CD47 peptide,Materials and methods > Preparation of CD47 and monoclonal antibody-conjugated LNPs,data/raw/fulltext/gold_v1/xml/candidate_00186_PMC12265960.xml,p0130,,
L2,targeting_ligand,"E2, E3",anti-mouse CD31 antibody,anti-mouse CD31 antibody,exact,anti-mouse CD31 antibody,Results > CD47 modification enhances the efficiency of tLNP-mRNA,data/raw/fulltext/gold_v1/xml/candidate_00186_PMC12265960.xml,p0045,,
L3,targeting_ligand,unlinked/pending,anti-mouse CD4 antibody,anti-mouse CD4 antibody,exact,purified rat anti-mouse CD4,Materials and methods > Preparation of CD47 and monoclonal antibody-conjugated LNPs,data/raw/fulltext/gold_v1/xml/candidate_00186_PMC12265960.xml,p0130,,
L4,targeting_ligand,unlinked/pending,anti-mouse CD117 antibody,anti-mouse CD117 antibody,exact,purified rat anti-mouse CD117,Materials and methods > Preparation of CD47 and monoclonal antibody-conjugated LNPs,data/raw/fulltext/gold_v1/xml/candidate_00186_PMC12265960.xml,p0130,,
M1,molecular_target,unlinked/pending,CD31,PECAM1,synonym,CD45−CD31+ endothelial cells,Results > CD47 modification enhances the efficiency of tLNP-mRNA,data/raw/fulltext/gold_v1/xml/candidate_00186_PMC12265960.xml,p0045,,
M2,molecular_target,unlinked/pending,CD4,CD4,exact,CD4+ T cells,Results > CD47 modification enhances the efficiency of tLNP-mRNA,data/raw/fulltext/gold_v1/xml/candidate_00186_PMC12265960.xml,p0050,,
M3,molecular_target,unlinked/pending,CD117,,unresolved,Lin−Sca1+CD117+ HSCs,Results > CD47 modification enables in vivo depletion of HSCs with HSC-targeted LNP encapsulating apoptotic mRNA by reducing off-target effects,data/raw/fulltext/gold_v1/xml/candidate_00186_PMC12265960.xml,p0055,,
S1,species,unlinked/pending,C57BL/6 mice,Mus musculus C57BL/6,synonym,C57BL/6 mice,Results > CD47 modification of LNP-mRNA promotes macrophage evasion in vitro and reduces liver uptake in vivo,data/raw/fulltext/gold_v1/xml/candidate_00186_PMC12265960.xml,p0035,,
BM1,biological_model,E7,Ai6 mice,Ai6 Cre-reporter mice,synonym,Ai6 mice,Results > CD47 modification enables in vivo depletion of HSCs with HSC-targeted LNP encapsulating apoptotic mRNA by reducing off-target effects,data/raw/fulltext/gold_v1/xml/candidate_00186_PMC12265960.xml,p0055,,
R1,route,E1,i.v.,intravenous,synonym,i.v.,Results > CD47 modification of LNP-mRNA promotes macrophage evasion in vitro and reduces liver uptake in vivo,data/raw/fulltext/gold_v1/xml/candidate_00186_PMC12265960.xml,p0035,,
D1,dose,E2,10 μg,10 micrograms,synonym,10 μg,Results > CD47 modification enhances the efficiency of tLNP-mRNA,data/raw/fulltext/gold_v1/xml/candidate_00186_PMC12265960.xml,p0045,,
D2,dose,"E6, E7",1 μg,1 microgram,synonym,1 μg,Results > CD47 modification enables in vivo depletion of HSCs with HSC-targeted LNP encapsulating apoptotic mRNA by reducing off-target effects,data/raw/fulltext/gold_v1/xml/candidate_00186_PMC12265960.xml,p0055,,
T1,timepoint,unlinked/pending,4 h,4 hours post-administration,synonym,Four hours post-administration,Results > CD47 modification of LNP-mRNA promotes macrophage evasion in vitro and reduces liver uptake in vivo,data/raw/fulltext/gold_v1/xml/candidate_00186_PMC12265960.xml,p0035,,
T2,timepoint,unlinked/pending,24 h,24 hours post-treatment,synonym,At T = 24 h,Results > CD47 modification enables in vivo depletion of HSCs with HSC-targeted LNP encapsulating apoptotic mRNA by reducing off-target effects,data/raw/fulltext/gold_v1/xml/candidate_00186_PMC12265960.xml,p0055,,
A1,assay,E1,radioactivity counting,gamma-counting biodistribution assay,synonym,radioactivity counting,Results > CD47 modification of LNP-mRNA promotes macrophage evasion in vitro and reduces liver uptake in vivo,data/raw/fulltext/gold_v1/xml/candidate_00186_PMC12265960.xml,p0035,,
A2,assay,E2,IVIS bioluminescence imaging,IVIS bioluminescence imaging,exact,IVIS bioluminescence imaging,Results > CD47 modification enhances the efficiency of tLNP-mRNA,data/raw/fulltext/gold_v1/xml/candidate_00186_PMC12265960.xml,p0045,,
A3,assay,E3,flow cytometry analysis,flow cytometry,synonym,Flow cytometry analysis,Results > CD47 modification enhances the efficiency of tLNP-mRNA,data/raw/fulltext/gold_v1/xml/candidate_00186_PMC12265960.xml,p0045,,
A4,assay,unlinked/pending,LC-MS analysis,liquid chromatography-mass spectrometry,synonym,LC-MS analysis,Results > CD47-modified LNP shows mitigated inflammatory effects and altered protein corona,data/raw/fulltext/gold_v1/xml/candidate_00186_PMC12265960.xml,p0075,,
CELL1,cell,E3,CD45−CD31+ endothelial cells,CD45-negative CD31-positive lung endothelial cells,synonym,CD45−CD31+ endothelial cells,Results > CD47 modification enhances the efficiency of tLNP-mRNA,data/raw/fulltext/gold_v1/xml/candidate_00186_PMC12265960.xml,p0045,,
CELL2,cell,E5,CD4+ T cells,CD4-positive T cells,synonym,CD4+ T cells,Results > CD47 modification enhances the efficiency of tLNP-mRNA,data/raw/fulltext/gold_v1/xml/candidate_00186_PMC12265960.xml,p0050,,
CELL3,cell,E7,Lin−Sca1+CD117+ HSCs,lineage-negative Sca1-positive CD117-positive hematopoietic stem cells,synonym,Lin−Sca1+CD117+ HSCs,Results > CD47 modification enables in vivo depletion of HSCs with HSC-targeted LNP encapsulating apoptotic mRNA by reducing off-target effects,data/raw/fulltext/gold_v1/xml/candidate_00186_PMC12265960.xml,p0055,,
TI1,tissue_or_organ,E1,blood,blood,exact,blood,Results > CD47 modification of LNP-mRNA promotes macrophage evasion in vitro and reduces liver uptake in vivo,data/raw/fulltext/gold_v1/xml/candidate_00186_PMC12265960.xml,p0035,,
TI2,tissue_or_organ,unlinked/pending,liver,liver,exact,liver,Results > CD47 modification of LNP-mRNA promotes macrophage evasion in vitro and reduces liver uptake in vivo,data/raw/fulltext/gold_v1/xml/candidate_00186_PMC12265960.xml,p0035,,
TI3,tissue_or_organ,unlinked/pending,spleen,spleen,exact,spleen,Results > CD47 modification of LNP-mRNA promotes macrophage evasion in vitro and reduces liver uptake in vivo,data/raw/fulltext/gold_v1/xml/candidate_00186_PMC12265960.xml,p0035,,
TI4,tissue_or_organ,unlinked/pending,lung,lung,exact,lung,Results > CD47 modification enhances the efficiency of tLNP-mRNA,data/raw/fulltext/gold_v1/xml/candidate_00186_PMC12265960.xml,p0045,,
TI5,tissue_or_organ,E6,bone marrow,bone marrow,exact,whole-femur BM,Results > CD47 modification enables in vivo depletion of HSCs with HSC-targeted LNP encapsulating apoptotic mRNA by reducing off-target effects,data/raw/fulltext/gold_v1/xml/candidate_00186_PMC12265960.xml,p0055,,
E1A,endpoint,E1,CD47/LNP-mRNA blood retention,CD47-modified LNP blood retention as percent injected dose per gram,synonym,CD47/LNP-mRNA-treated mice showed a retention rate of ∼20% of the injected dosage (ID/g),Results > CD47 modification of LNP-mRNA promotes macrophage evasion in vitro and reduces liver uptake in vivo,data/raw/fulltext/gold_v1/xml/candidate_00186_PMC12265960.xml,p0035,,
E1B,endpoint,E1,unmodified LNP-mRNA blood retention,unmodified LNP blood retention as percent injected dose per gram,synonym,only about 4% ID/g in unmodified LNP-mRNA-treated mice,Results > CD47 modification of LNP-mRNA promotes macrophage evasion in vitro and reduces liver uptake in vivo,data/raw/fulltext/gold_v1/xml/candidate_00186_PMC12265960.xml,p0035,,
E2A,endpoint,E1,CD47/LNP-mRNA liver uptake relative to unmodified LNP-mRNA,relative hepatic LNP uptake,synonym,a ∼6-fold decrease in liver uptake,Results > CD47 modification of LNP-mRNA promotes macrophage evasion in vitro and reduces liver uptake in vivo,data/raw/fulltext/gold_v1/xml/candidate_00186_PMC12265960.xml,p0035,,
E3A,endpoint,E1,CD47/LNP-mRNA spleen uptake relative to unmodified LNP-mRNA,relative splenic LNP uptake,synonym,a ∼3-fold decrease in spleen uptake,Results > CD47 modification of LNP-mRNA promotes macrophage evasion in vitro and reduces liver uptake in vivo,data/raw/fulltext/gold_v1/xml/candidate_00186_PMC12265960.xml,p0035,,
E4A,endpoint,E2,lung luciferase activity per milligram protein,lung luciferase activity per milligram protein,exact,lung-specific luciferase expression,Results > CD47 modification enhances the efficiency of tLNP-mRNA,data/raw/fulltext/gold_v1/xml/candidate_00186_PMC12265960.xml,p0045,,
E5A,endpoint,E3,ZsGreen-positive CD45−CD31+ cells,percentage ZsGreen-positive lung endothelial cells,synonym,ZsGreen+ in the CD45−CD31+ population,Results > CD47 modification enhances the efficiency of tLNP-mRNA,data/raw/fulltext/gold_v1/xml/candidate_00186_PMC12265960.xml,p0045,,
E6A,endpoint,E5,ZsGreen-positive CD4+ T cells,percentage ZsGreen-positive CD4-positive T cells,synonym,ZsGreen+ in CD4+ T cells,Results > CD47 modification enhances the efficiency of tLNP-mRNA,data/raw/fulltext/gold_v1/xml/candidate_00186_PMC12265960.xml,p0050,,
E7A,endpoint,E7,ZsGreen-positive Lin−Sca1+CD117+ HSCs,percentage ZsGreen-positive hematopoietic stem cells,synonym,ZsGreen+ proportion in the Lin−Sca1+CD117+ HSCs,Results > CD47 modification enables in vivo depletion of HSCs with HSC-targeted LNP encapsulating apoptotic mRNA by reducing off-target effects,data/raw/fulltext/gold_v1/xml/candidate_00186_PMC12265960.xml,p0055,,
E8A,endpoint,E8,Apoe Z score in protein corona,ApoE protein-corona Z score,synonym,Apoe Z score,Results > CD47-modified LNP shows mitigated inflammatory effects and altered protein corona,data/raw/fulltext/gold_v1/xml/candidate_00186_PMC12265960.xml,p0075,,
E8B,endpoint,E8,albumin Z score in protein corona,albumin protein-corona Z score,synonym,Z score of 1.11 compared to −0.28 in unmodified LNP,Results > CD47-modified LNP shows mitigated inflammatory effects and altered protein corona,data/raw/fulltext/gold_v1/xml/candidate_00186_PMC12265960.xml,p0075,,
O1,outcome_value,E1,∼20% ID/g,approximately 20 percent injected dose per gram,synonym,∼20% of the injected dosage (ID/g),Results > CD47 modification of LNP-mRNA promotes macrophage evasion in vitro and reduces liver uptake in vivo,data/raw/fulltext/gold_v1/xml/candidate_00186_PMC12265960.xml,p0035,,
O2,outcome_value,E1,about 4% ID/g,approximately 4 percent injected dose per gram,synonym,about 4% ID/g,Results > CD47 modification of LNP-mRNA promotes macrophage evasion in vitro and reduces liver uptake in vivo,data/raw/fulltext/gold_v1/xml/candidate_00186_PMC12265960.xml,p0035,,
O3,outcome_value,E1,∼6-fold decrease,approximately sixfold decrease,synonym,∼6-fold decrease,Results > CD47 modification of LNP-mRNA promotes macrophage evasion in vitro and reduces liver uptake in vivo,data/raw/fulltext/gold_v1/xml/candidate_00186_PMC12265960.xml,p0035,,
O4,outcome_value,E1,∼3-fold decrease,approximately threefold decrease,synonym,∼3-fold decrease,Results > CD47 modification of LNP-mRNA promotes macrophage evasion in vitro and reduces liver uptake in vivo,data/raw/fulltext/gold_v1/xml/candidate_00186_PMC12265960.xml,p0035,,
O5,outcome_value,E2,1.5E+6 LU/mg protein,1.5×10^6 LU/mg protein,synonym,1.5E+6 LU/mg protein,Results > CD47 modification enhances the efficiency of tLNP-mRNA,data/raw/fulltext/gold_v1/xml/candidate_00186_PMC12265960.xml,p0045,,
O6,outcome_value,E2,2E+6 LU/mg protein,2×10^6 LU/mg protein,synonym,2E+6 LU/mg protein,Results > CD47 modification enhances the efficiency of tLNP-mRNA,data/raw/fulltext/gold_v1/xml/candidate_00186_PMC12265960.xml,p0045,,
O7,outcome_value,E3,8.3%,8.3 percent,exact,8.3%,Results > CD47 modification enhances the efficiency of tLNP-mRNA,data/raw/fulltext/gold_v1/xml/candidate_00186_PMC12265960.xml,p0045,,
O8,outcome_value,E3,17.0%,17.0 percent,exact,17.0%,Results > CD47 modification enhances the efficiency of tLNP-mRNA,data/raw/fulltext/gold_v1/xml/candidate_00186_PMC12265960.xml,p0045,,
O9,outcome_value,E5,46.6%,46.6 percent,exact,46.6%,Results > CD47 modification enhances the efficiency of tLNP-mRNA,data/raw/fulltext/gold_v1/xml/candidate_00186_PMC12265960.xml,p0050,,
O10,outcome_value,E5,51.1%,51.1 percent,exact,51.1%,Results > CD47 modification enhances the efficiency of tLNP-mRNA,data/raw/fulltext/gold_v1/xml/candidate_00186_PMC12265960.xml,p0050,,
O11,outcome_value,E7,6.9%,6.9 percent,exact,6.9%,Results > CD47 modification enables in vivo depletion of HSCs with HSC-targeted LNP encapsulating apoptotic mRNA by reducing off-target effects,data/raw/fulltext/gold_v1/xml/candidate_00186_PMC12265960.xml,p0055,,
O12,outcome_value,E7,22.2%,22.2 percent,exact,22.2%,Results > CD47 modification enables in vivo depletion of HSCs with HSC-targeted LNP encapsulating apoptotic mRNA by reducing off-target effects,data/raw/fulltext/gold_v1/xml/candidate_00186_PMC12265960.xml,p0055,,
O13,outcome_value,E8,−0.04,ApoE Z score minus 0.04,synonym,Apoe Z score of −0.04,Results > CD47-modified LNP shows mitigated inflammatory effects and altered protein corona,data/raw/fulltext/gold_v1/xml/candidate_00186_PMC12265960.xml,p0075,,
O14,outcome_value,E8,1.02,ApoE Z score 1.02,inferred,1.02 in the unmodified LNP,Results > CD47-modified LNP shows mitigated inflammatory effects and altered protein corona,data/raw/fulltext/gold_v1/xml/candidate_00186_PMC12265960.xml,p0075,,
O15,outcome_value,E8,1.11,albumin Z score 1.11,inferred,Z score of 1.11,Results > CD47-modified LNP shows mitigated inflammatory effects and altered protein corona,data/raw/fulltext/gold_v1/xml/candidate_00186_PMC12265960.xml,p0075,,
O16,outcome_value,E8,−0.28,albumin Z score minus 0.28,inferred,−0.28 in unmodified LNP,Results > CD47-modified LNP shows mitigated inflammatory effects and altered protein corona,data/raw/fulltext/gold_v1/xml/candidate_00186_PMC12265960.xml,p0075,,
