experiment_id,experiment,claim_id,subject_type,subject,relation,object_type,object,evidence_quote,source_section,source_file,page_or_xml_id,human_decision,human_reason
GP-002-E05,mRNA-LNP delivery in primary liver cancer xenograft model,E05C6,intervention,10 μg eGFP mRNA-LNP administration in HuH-7 xenograft mice,has_timepoint,timepoint,24 h post-injection,approximately 24 h after an injection,Results > Delivery of mRNA-LNPs to a xenograft model of primary liver cancer,data/raw/fulltext/gold_v1/xml/candidate_00003_PMC13334401.xml,p0125,,
GP-002-E05,mRNA-LNP delivery in primary liver cancer xenograft model,E05C7,endpoint,eGFP fluorescence in tumor and non-tumor liver,has_outcome_value,outcome_value,no significant difference between liver and tumor,"no significant difference found between liver and tumor (Wilcoxon matched-pairs signed-rank test, n = 8, W = 10.00, p = 0.5469)",Results > Delivery of mRNA-LNPs to a xenograft model of primary liver cancer,data/raw/fulltext/gold_v1/xml/candidate_00003_PMC13334401.xml,p0125,,
GP-002-E05,mRNA-LNP delivery in primary liver cancer xenograft model,E05C8,endpoint,GFP staining in HuH-7-derived tumors,has_outcome_value,outcome_value,clear GFP staining in tumors,clear GFP staining in HuH-7-derived tumors,Results > Delivery of mRNA-LNPs to a xenograft model of primary liver cancer,data/raw/fulltext/gold_v1/xml/candidate_00003_PMC13334401.xml,p0125,,
GP-002-E06,mRNA-LNP delivery in secondary liver cancer xenograft model,E06C1,biological_model,A549-mCherry xenograft group,has_species,species,mice,Male BALB/c nude mice,Materials and methods > mRNA delivery in xenograft models of secondary liver cancer,data/raw/fulltext/gold_v1/xml/candidate_00003_PMC13334401.xml,p0330,,
GP-002-E06,mRNA-LNP delivery in secondary liver cancer xenograft model,E06C2,biological_model,HCT116-mCherry xenograft group,has_species,species,mice,Male BALB/c nude mice,Materials and methods > mRNA delivery in xenograft models of secondary liver cancer,data/raw/fulltext/gold_v1/xml/candidate_00003_PMC13334401.xml,p0330,,
GP-002-E06,mRNA-LNP delivery in secondary liver cancer xenograft model,E06C3,biological_model,A549-mCherry xenograft group,has_intervention,intervention,10 μg eGFP mRNA-LNP administration in secondary-liver-cancer xenograft mice,mRNA-LNPs encoding eGFP (10 μg in 100 μL of TBS) were injected via tail vein.,Materials and methods > mRNA delivery in xenograft models of secondary liver cancer,data/raw/fulltext/gold_v1/xml/candidate_00003_PMC13334401.xml,p0330,,
GP-002-E06,mRNA-LNP delivery in secondary liver cancer xenograft model,E06C3,biological_model,A549-mCherry xenograft group,has_intervention,intervention,10 μg eGFP mRNA-LNP administration in secondary-liver-cancer xenograft mice,multiple mouse models of liver disease and cancer following intravenous administration of mRNA-LNPs based on the ionizable lipid SM-102,Introduction,data/raw/fulltext/gold_v1/xml/candidate_00003_PMC13334401.xml,p0040,,
GP-002-E06,mRNA-LNP delivery in secondary liver cancer xenograft model,E06C4,biological_model,HCT116-mCherry xenograft group,has_intervention,intervention,10 μg eGFP mRNA-LNP administration in secondary-liver-cancer xenograft mice,mRNA-LNPs encoding eGFP (10 μg in 100 μL of TBS) were injected via tail vein.,Materials and methods > mRNA delivery in xenograft models of secondary liver cancer,data/raw/fulltext/gold_v1/xml/candidate_00003_PMC13334401.xml,p0330,,
GP-002-E06,mRNA-LNP delivery in secondary liver cancer xenograft model,E06C5,intervention,10 μg eGFP mRNA-LNP administration in secondary-liver-cancer xenograft mice,has_formulation,lnp_formulation,SM-102 mRNA-LNPs,mRNA-LNPs encoding eGFP (10 μg in 100 μL of TBS) were injected via tail vein.,Materials and methods > mRNA delivery in xenograft models of secondary liver cancer,data/raw/fulltext/gold_v1/xml/candidate_00003_PMC13334401.xml,p0330,,
GP-002-E06,mRNA-LNP delivery in secondary liver cancer xenograft model,E06C6,intervention,10 μg eGFP mRNA-LNP administration in secondary-liver-cancer xenograft mice,has_route,route,via the tail vein,injected via tail vein,Materials and methods > mRNA delivery in xenograft models of secondary liver cancer,data/raw/fulltext/gold_v1/xml/candidate_00003_PMC13334401.xml,p0330,,
GP-002-E06,mRNA-LNP delivery in secondary liver cancer xenograft model,E06C7,intervention,10 μg eGFP mRNA-LNP administration in secondary-liver-cancer xenograft mice,has_dose,dose,10 μg eGFP mRNA-LNPs,10 μg in 100 μL of TBS,Materials and methods > mRNA delivery in xenograft models of secondary liver cancer,data/raw/fulltext/gold_v1/xml/candidate_00003_PMC13334401.xml,p0330,,
GP-002-E06,mRNA-LNP delivery in secondary liver cancer xenograft model,E06C8,intervention,10 μg eGFP mRNA-LNP administration in secondary-liver-cancer xenograft mice,has_timepoint,timepoint,24 h post-injection,approximately 24 h later,Materials and methods > mRNA delivery in xenograft models of secondary liver cancer,data/raw/fulltext/gold_v1/xml/candidate_00003_PMC13334401.xml,p0330,,
