entity_id,entity_type,experiment_scope,reported_name,normalized_name,normalization_status,evidence_quote,source_section,source_file,page_or_xml_id,human_decision,human_reason
CELL2,cell,unlinked/pending,BMDMs,bone marrow-derived macrophages,synonym,We incubated BMDMs,"Results > Design, Manufacturing, and Characterization of αCD163/LNP-FAPCAR.",data/raw/fulltext/oa_packages/PMC13229182/pnas.202534673.nxml,,,
CELL3,cell,GP-008-E01,HSCs,hepatic stellate cells,synonym,overactive HSCs that express FAP upon activation,Body,data/raw/fulltext/oa_packages/PMC13229182/pnas.202534673.nxml,,,
T1,tissue_or_organ,GP-008-E01,liver,liver,exact,liver tissues were collected,Results > αCD163/LNP-FAPCAR Suppressed Liver Fibrosis via Facilitating Liver Tissue Repair and Inhibiting HSC Activation.,data/raw/fulltext/oa_packages/PMC13229182/pnas.202534673.nxml,,,
D1,disease,unlinked/pending,liver fibrosis,liver fibrosis,exact,liver fibrosis treatment,Body,data/raw/fulltext/oa_packages/PMC13229182/pnas.202534673.nxml,,,
S1,species,GP-008-E01,mice,Mus musculus,synonym,normal mice,Results > Delivery of αCD163/LNP-FAPCAR to Macrophages in Fibrotic Liver via Targeted Approach.,data/raw/fulltext/oa_packages/PMC13229182/pnas.202534673.nxml,,,
M1,biological_model,GP-008-E01,CCL4 fibrotic mice,carbon tetrachloride-induced mouse liver fibrosis model,synonym,fibrotic mice induced by CCL4,Results > Delivery of αCD163/LNP-FAPCAR to Macrophages in Fibrotic Liver via Targeted Approach.,data/raw/fulltext/oa_packages/PMC13229182/pnas.202534673.nxml,,,
I1,intervention,GP-008-E01,αCD163/LNP-FAPCAR treatment,anti-CD163-conjugated LNP-FAPCAR treatment,synonym,treated with αCD163/LNP-FAPCAR,Results > αCD163/LNP-FAPCAR Suppressed Liver Fibrosis via Facilitating Liver Tissue Repair and Inhibiting HSC Activation.,data/raw/fulltext/oa_packages/PMC13229182/pnas.202534673.nxml,,,
I1,intervention,GP-008-E01,αCD163/LNP-FAPCAR treatment,anti-CD163-conjugated LNP-FAPCAR treatment,synonym,CCL4+αCD163/LNP-FAPCAR group,Results > Delivery of αCD163/LNP-FAPCAR to Macrophages in Fibrotic Liver via Targeted Approach.,data/raw/fulltext/oa_packages/PMC13229182/pnas.202534673.nxml,,,
I2,intervention,GP-008-E01,in-vitro αCD163/LNP FAPCAR-or-GFP-mRNA exposure,48-hour in-vitro exposure of bone-marrow-derived macrophages to αCD163-targeted LNPs carrying FAPCAR mRNA or GFP control mRNA,synonym,We incubated BMDMs with αCD163/LNPs containing mRNA encoding FAPCAR or GFP for 48 h in vitro.,"Results > Design, Manufacturing, and Characterization of αCD163/LNP-FAPCAR.",data/raw/fulltext/oa_packages/PMC13229182/pnas.202534673.nxml,,,
R1,route,unlinked/pending,intravenous injection of the tail vein,intravenous tail-vein injection,synonym,via an intravenous injection of the tail vein,Supplement page 6,data/raw/fulltext/oa_packages/PMC13229182/pnas.2534673123.sapp.pdf,6,,
DO1,dose,unlinked/pending,0.4 mg of mRNA per kg body weight,0.4 mg mRNA/kg body weight,synonym,0.4 mg of 244 mRNA per kg body weight,Supplement page 6,data/raw/fulltext/oa_packages/PMC13229182/pnas.2534673123.sapp.pdf,6,,
TP1,timepoint,GP-008-E01,48 h,48 hours,synonym,for 48 h in vitro,"Results > Design, Manufacturing, and Characterization of αCD163/LNP-FAPCAR.",data/raw/fulltext/oa_packages/PMC13229182/pnas.202534673.nxml,,,
A1,assay,GP-008-E01,flow cytometry,flow cytometry,exact,Flow cytometry showed,"Results > Design, Manufacturing, and Characterization of αCD163/LNP-FAPCAR.",data/raw/fulltext/oa_packages/PMC13229182/pnas.202534673.nxml,,,
A2,assay,GP-008-E01,scRNA-seq,single-cell RNA sequencing,synonym,for scRNA-seq,Results > αCD163/LNP-FAPCAR Suppressed Liver Fibrosis via Facilitating Liver Tissue Repair and Inhibiting HSC Activation.,data/raw/fulltext/oa_packages/PMC13229182/pnas.202534673.nxml,,,
A3,assay,unlinked/pending,in vivo bioluminescence imaging,in vivo bioluminescence imaging,exact,In vivo bioluminescence imaging,Results > Delivery of αCD163/LNP-FAPCAR to Macrophages in Fibrotic Liver via Targeted Approach.,data/raw/fulltext/oa_packages/PMC13229182/pnas.202534673.nxml,,,
E1,endpoint,GP-008-E01,BMDM GFP or FAPCAR expression,BMDM transgene-expression frequency,inferred,BMDMs expressed GFP or FAPCAR,"Results > Design, Manufacturing, and Characterization of αCD163/LNP-FAPCAR.",data/raw/fulltext/oa_packages/PMC13229182/pnas.202534673.nxml,,,
O1,outcome_value,GP-008-E01,over 80%,>80% of BMDMs positive,synonym,over 80% of the BMDMs expressed GFP or FAPCAR,"Results > Design, Manufacturing, and Characterization of αCD163/LNP-FAPCAR.",data/raw/fulltext/oa_packages/PMC13229182/pnas.202534673.nxml,,,
E2,endpoint,GP-008-E01,unmodified-LNP BMDM mRNA delivery,unmodified-LNP BMDM transfection frequency,inferred,unmodified LNPs delivered mRNA to fewer than 20% of target BMDMs in vitro,"Results > Design, Manufacturing, and Characterization of αCD163/LNP-FAPCAR.",data/raw/fulltext/oa_packages/PMC13229182/pnas.202534673.nxml,,,
O2,outcome_value,GP-008-E01,fewer than 20%,<20% of target BMDMs,synonym,fewer than 20% of target BMDMs,"Results > Design, Manufacturing, and Characterization of αCD163/LNP-FAPCAR.",data/raw/fulltext/oa_packages/PMC13229182/pnas.202534673.nxml,,,
E3,endpoint,GP-008-E01,αCD163/LNP-FAPCAR particle size,mean particle diameter,inferred,mean particle size of 110.3 ± 6.8 nm,"Results > Design, Manufacturing, and Characterization of αCD163/LNP-FAPCAR.",data/raw/fulltext/oa_packages/PMC13229182/pnas.202534673.nxml,,,
O3,outcome_value,GP-008-E01,110.3 ± 6.8 nm,110.3 ± 6.8 nm,exact,110.3 ± 6.8 nm,"Results > Design, Manufacturing, and Characterization of αCD163/LNP-FAPCAR.",data/raw/fulltext/oa_packages/PMC13229182/pnas.202534673.nxml,,,
E4,endpoint,GP-008-E01,hepatic ZsGreen fluorescence persistence,duration of hepatic ZsGreen fluorescence,synonym,prolonged hepatic fluorescence persistence,Results > Delivery of αCD163/LNP-FAPCAR to Macrophages in Fibrotic Liver via Targeted Approach.,data/raw/fulltext/oa_packages/PMC13229182/pnas.202534673.nxml,,,
O4,outcome_value,GP-008-E01,sustained through day 14,hepatic fluorescence sustained through day 14,exact,sustained through day 14,Results > Delivery of αCD163/LNP-FAPCAR to Macrophages in Fibrotic Liver via Targeted Approach.,data/raw/fulltext/oa_packages/PMC13229182/pnas.202534673.nxml,,,
E5,endpoint,GP-008-E01,HSC proportion,HSC proportion in liver samples,synonym,a lower proportion of HSCs,Results > αCD163/LNP-FAPCAR Suppressed Liver Fibrosis via Facilitating Liver Tissue Repair and Inhibiting HSC Activation.,data/raw/fulltext/oa_packages/PMC13229182/pnas.202534673.nxml,,,
O5,outcome_value,GP-008-E01,lower than the Fibrosis group,lower HSC proportion versus fibrosis group,synonym,a lower proportion of HSCs than the Fibrosis group,Results > αCD163/LNP-FAPCAR Suppressed Liver Fibrosis via Facilitating Liver Tissue Repair and Inhibiting HSC Activation.,data/raw/fulltext/oa_packages/PMC13229182/pnas.202534673.nxml,,,
E6,endpoint,GP-008-E01,hepatocyte apoptosis,hepatocyte apoptosis,synonym,the apoptosis of Heps in the LNP group,Results > αCD163/LNP-FAPCAR Suppressed Liver Fibrosis via Facilitating Liver Tissue Repair and Inhibiting HSC Activation.,data/raw/fulltext/oa_packages/PMC13229182/pnas.202534673.nxml,,,
O6,outcome_value,GP-008-E01,significantly lower,significantly lower than the Fibrosis group,inferred,significantly lower,Results > αCD163/LNP-FAPCAR Suppressed Liver Fibrosis via Facilitating Liver Tissue Repair and Inhibiting HSC Activation.,data/raw/fulltext/oa_packages/PMC13229182/pnas.202534673.nxml,,,
E7,endpoint,GP-008-E01,FAP-positive macrophage abundance,abundance of FAP-positive macrophages,synonym,FAP+ macrophages,Results > αCD163/LNP-FAPCAR Enhanced MMP12+ Scar Clearance Phenotype by Reprogramming Macrophage Subpopulations to Alleviate Liver Fibrosis.,data/raw/fulltext/oa_packages/PMC13229182/pnas.202534673.nxml,,,
O7,outcome_value,GP-008-E01,markedly attenuated,marked reduction in FAP-positive macrophages,synonym,markedly attenuating the amount of FAP+ macrophages,Results > αCD163/LNP-FAPCAR Enhanced MMP12+ Scar Clearance Phenotype by Reprogramming Macrophage Subpopulations to Alleviate Liver Fibrosis.,data/raw/fulltext/oa_packages/PMC13229182/pnas.202534673.nxml,,,
