evidence_id,gold_paper_id,supported_entity_type,supported_entity_id,field_name,evidence_text,evidence_location_type,section_name,page_number,table_number,table_row,table_column,figure_number,supplement_identifier,xml_file,xml_element_id,extraction_method,review_status,reviewer_notes
EVID-011,GP-006,outcome,GO-007,fviii_activity,Cas9/sgRNA LNP-treated mice generated average FVIII activity of 3.30 ± 0.68% over 26 weeks.,xml_paragraph_and_figure,Recovery of endogenous FVIII activity after Cas9/sgRNA LNP injection,,,,,Figure 5A,,data/raw/fulltext/gold_v1/xml/candidate_00168_PMC11617921.xml,p0055,manual_full_text_review,verified,"Systemic therapeutic outcome linked to LSEC gene editing, rather than a direct delivery measurement."
EVID-012,GP-002,formulation,GF-003,composition,SM-102:DSPC:cholesterol:DMG-PEG2000 = 50:10:38.5:1.5 molar ratio.,xml_paragraph,Introduction,,,,,,,data/raw/fulltext/gold_v1/xml/candidate_00003_PMC13334401.xml,p0040,manual_full_text_review,verified,
EVID-013,GP-002,experiment,GX-004,hepatocyte_reporter_delivery,Five healthy mice received 10 micrograms eGFP mRNA-LNP by tail vein and were assessed after 24 hours.,xml_paragraph_and_figure,Results,,,,,Figure 1,,data/raw/fulltext/gold_v1/xml/candidate_00003_PMC13334401.xml,p0050,manual_full_text_review,verified,
EVID-014,GP-002,outcome,GO-008,hepatocyte_expression,Immunohistochemistry showed strong eGFP staining in virtually all hepatocytes.,xml_paragraph_and_figure,Results,,,,,Figure 1F,,data/raw/fulltext/gold_v1/xml/candidate_00003_PMC13334401.xml,p0050,manual_full_text_review,verified,
EVID-015,GP-003,paper,GP-003,original_experiment_status,The publication describes itself as a state-of-the-art review and does not report an original tested LNP experiment.,xml_article,Abstract,,,,,,,data/raw/fulltext/gold_v1/xml/candidate_00019_PMC13184955.xml,,manual_full_text_review,verified,
EVID-016,GP-005,formulation,GF-004,composition,"MC3, DSPC, cholesterol, and DMG-PEG2000 were mixed at 50:10:38.5:1.5 molar ratio in ethanol; RNA was in 0.1 M acetate buffer pH 4.",xml_paragraph,Experimental Section,,,,,,,data/raw/fulltext/gold_v1/xml/candidate_00082_PMC11884593.xml,,manual_full_text_review,verified,
EVID-017,GP-005,formulation,GF-004,structured_characterization,"LNP1 containing Egfp mRNA and MC3 measured 130.0 +/- 31.9 nm by NanoSight and 103.5 +/- 1.23 nm by DLS, with zeta potential -4.95 +/- 0.43 mV.",xml_structured_table,Results,,Table 1,LNP 1,,,,data/raw/fulltext/gold_v1/xml/candidate_00082_PMC11884593.xml,,manual_structured_table_review,verified,
EVID-018,GP-005,experiment,GX-005,kupffer_uptake_and_translation,Mice received 2 mg/kg Egfp mRNA-LNP intravenously; intravital imaging at 16 hours and F4/80 staining assessed Kupffer-cell translation.,xml_paragraph_and_figure,Results,,,,,Figure 1,,data/raw/fulltext/gold_v1/xml/candidate_00082_PMC11884593.xml,,manual_full_text_review,verified,
EVID-019,GP-005,outcome,GO-010,kupffer_uptake,"Kupffer cells showed high and rapid LNP uptake, but no obvious EGFP-positive F4/80-positive Kupffer cells were detected in vivo.",xml_paragraph_and_figure,Results,,,,,Figures 1 and 4,,data/raw/fulltext/gold_v1/xml/candidate_00082_PMC11884593.xml,,manual_full_text_review,verified,
EVID-020,GP-005,outcome,GO-011,kupffer_translation,EGFP translation was observed solely in hepatocytes; labeled RNA remained visible as small spots in Kupffer cells after 16 hours.,xml_paragraph_and_figure,Results,,,,,Figure 4F,,data/raw/fulltext/gold_v1/xml/candidate_00082_PMC11884593.xml,,manual_full_text_review,verified,
EVID-021,GP-007,formulation,GF-005,partial_composition,"Cholesterol and DSPE-PEG were dissolved in ethanol with 0.1 mol% FITC-labeled hyaluronic acid; siMicu1 was rapidly mixed using a T-junction, then dialyzed, filtered, and concentrated.",xml_paragraph,Methods,,,,,,,data/raw/fulltext/gold_v1/xml/candidate_00167_PMC13137855.xml,,manual_full_text_review,verified_incomplete,No complete lipid ratio or exact DSPE-PEG identity is reported.
EVID-022,GP-007,formulation,GF-005,particle_characterization,"siMicu1-LNPs measured 80.03 +/- 1.19 nm, zeta potential 10.12 mV, and 71.97% encapsulation efficiency.",xml_paragraph_and_figure,Results,,,,,Figure 7A-C,,data/raw/fulltext/gold_v1/xml/candidate_00167_PMC13137855.xml,,manual_full_text_review,verified,
EVID-023,GP-007,experiment,GX-007,lsec_treatment,Mice received siMicu1-LNP intravenously at 5 microliters per gram two hours before HIRI surgery; the siRNA mass concentration was not reported.,xml_paragraph_and_figure,Methods and Results,,,,,Figure 7E,,data/raw/fulltext/gold_v1/xml/candidate_00167_PMC13137855.xml,,manual_full_text_review,verified,
EVID-024,GP-007,outcome,GO-013,lsec_protection,"siMicu1-LNP treatment ameliorated mitochondrial damage, calcium accumulation, and the defenestration phenotype of LSECs after HIRI.",xml_paragraph_and_figure,Results,,,,,Figure 7H-L,,data/raw/fulltext/gold_v1/xml/candidate_00167_PMC13137855.xml,,manual_full_text_review,verified,
EVID-025,GP-008,formulation,GF-006,composition_and_manufacturing,Ionizable lipid:DSPC:cholesterol:PEG-lipid = 45:30:23.5:1.5. Lipids were mixed with mRNA in 6.25 mM sodium acetate pH 5 at a 3:1 aqueous:organic ratio.,supplement_pdf_text,RNA Synthesis and Lipid Nanoparticle Formulation,4,,,,,pnas.2534673123.sapp.pdf,data/raw/fulltext/oa_packages/PMC13229182/pnas.2534673123.sapp.pdf,,manual_visual_pdf_review,verified,
EVID-026,GP-008,formulation,GF-006,targeting_conjugation,Anti-CD163 was attached using SATA-maleimide chemistry after DSPE-PEG-maleimide post-insertion; antibody:LNP ratio was 1:20.,supplement_pdf_text,RNA Synthesis and Lipid Nanoparticle Formulation,4,,,,,pnas.2534673123.sapp.pdf,data/raw/fulltext/oa_packages/PMC13229182/pnas.2534673123.sapp.pdf,,manual_visual_pdf_review,verified,
EVID-027,GP-008,formulation,GF-006,pdf_table_characterization,Appendix Table 1 reports alpha-CD163/LNP diameter 132.05 +/- 3.10 nm and PDI 0.176 +/- 0.017.,supplement_pdf_table,Tables S1 to S3,27,Appendix Table 1,alpha-CD163/LNP,,,,data/raw/fulltext/oa_packages/PMC13229182/pnas.2534673123.sapp.pdf,,manual_visual_pdf_review,verified,
EVID-028,GP-008,experiment,GX-008,macrophage_delivery,"More than 80% of BMDMs expressed GFP or FAPCAR after alpha-CD163/LNP exposure, compared with fewer than 20% after unmodified LNP.",xml_paragraph_and_figure,Results,,,,,Figure 1J-M,,data/raw/fulltext/gold_v1/xml/candidate_00132_PMC13229182.xml,,manual_full_text_review,verified,
EVID-029,GP-008,experiment,GX-009,hsc_therapeutic_effect,"FAPCAR-expressing macrophages recognized and eliminated FAP-positive activated HSC models; the LNP cargo was expressed in macrophages, not HSCs.",xml_paragraph_and_figure,Results and Discussion,,,,,Figures 2 and 6,,data/raw/fulltext/gold_v1/xml/candidate_00132_PMC13229182.xml,,manual_full_text_review,verified,
EVID-030,GP-008,outcome,GO-018,recipient_cell_specificity,"Supplementary Figure 5 maps reporter expression to CD163/F4/80-positive macrophages and compares ALB, Desmin, F4/80, and SOX9 cell markers.",supplement_pdf_figure,Appendix Figure 5,18,,,,Appendix Figure 5G-L,pnas.2534673123.sapp.pdf,data/raw/fulltext/oa_packages/PMC13229182/pnas.2534673123.sapp.pdf,,manual_visual_pdf_review,verified,
EVID-031,GP-009,paper,GP-009,target_cell_identity,"HSC denotes hematopoietic stem cells used for bone-marrow-transplant preconditioning, not hepatic stellate cells.",xml_article,Abstract,,,,,,,data/raw/fulltext/gold_v1/xml/candidate_00186_PMC12265960.xml,,manual_full_text_review,verified,
